site,radius,order,n,log10_error,log10_bound,log10_sensitivity,max_orbit,below_noise_floor
attracting_zero,1e-3,5,44,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,44,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,45,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,45,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,45,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,45,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,46,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,46,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,46,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,46,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,47,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,47,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,47,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,47,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,48,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,48,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,48,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,48,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,49,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,49,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,49,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,49,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,50,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,50,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,50,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,50,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,51,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,51,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,51,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,51,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,52,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,52,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,52,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
