site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
parabolic_cusp,51,61,-29.333183990702786,-20.013159122988665,-89.15490189931747,-88.88605652927728,-27.987369997452483,-43.06644360225084,-15.07907360479836,7.974210874463818,-60.8986865318248
parabolic_cusp,52,62,-29.810305245422448,-20.02629192470473,-89.99999777642364,-88.7695508957673,-28.45789078604642,-43.556688990160765,-15.098798204114345,8.43159886134169,-60.311660109720876
parabolic_cusp,53,63,-30.28742650014211,-20.03922458256946,-89.09690989887007,-88.48148592324561,-28.928511269559763,-44.04673410574299,-15.118222836183229,8.889286686990303,-59.55297465368585
parabolic_cusp,54,64,-30.76454775486177,-20.05196310162975,-89.30102987023977,-88.42021624356649,-29.399228439525885,-44.536584954069376,-15.137356514543491,9.347265337896136,-59.0209878040406
parabolic_cusp,55,65,-31.241669009581432,-20.064513218711788,-89.22184853246922,-88.29242965634226,-29.870039422033866,-45.02624727199021,-15.156207849956342,9.805526203322078,-58.422390234308395
parabolic_cusp,56,66,-31.718790264301095,-20.07688041821476,-89.3010298566898,-88.37675049861485,-30.340941469792302,-45.515726543927975,-15.174785074135674,10.264061051577542,-58.035809028822555
parabolic_cusp,57,67,-32.19591151902076,-20.089069946755824,-88.95860718821446,-88.7695509140407,-30.811931954771424,-46.005028016522346,-15.193096061750921,10.7228620080156,-57.95761895926928
parabolic_cusp,58,68,-32.673032773740424,-20.10108682676546,-88.85387181266219,-88.88605641697755,-31.28300836137359,-46.494156712225596,-15.211148350852007,11.18192153460813,-57.60304805560396
parabolic_cusp,59,69,-33.150154028460086,-20.11293586912237,-89.30102993234385,-88.88605648938132,-31.754168280087143,-46.98311744193747,-15.22894916185033,11.641232410964772,-57.131888209294175
parabolic_cusp,60,70,-33.62727528317975,-20.12462168490834,-89.39793959812842,-88.65757709204819,-32.22540940158304,-47.47191481676014,-15.246505415177097,12.100787716674702,-56.43216769046514
deep_boundary,1,11,-5.477121254719663,-18.700846159082268,-19.05733938337341,-18.700846159082268,-5.034455053371273,-18.70059168475235,-13.666136631381077,-13.666391105710995,-13.666391105710995
deep_boundary,2,12,-5.954242509439325,-19.472479509659937,-20.665359962255998,-19.472479509659937,-5.484214153468778,-19.518512460636266,-14.03429830716749,-13.98826535619116,-13.98826535619116
deep_boundary,3,13,-6.431363764158987,-19.856667460407202,-22.28780643482937,-19.856667460407202,-5.863958808072753,-20.14466573216304,-14.280706924090289,-13.99270865233445,-13.99270865233445
deep_boundary,4,14,-6.9084850188786495,-19.861833296396807,-23.896917414499576,-19.861833296396807,-6.283619808001376,-20.538162304089703,-14.254542496088327,-13.57821348839543,-13.57821348839543
deep_boundary,5,15,-7.385606273598312,-19.88583515749988,-25.48603092555029,-19.88583515749988,-6.662232589601939,-21.008583052901393,-14.346350463299455,-13.223602567897942,-13.223602567897942
deep_boundary,6,16,-7.862727528317975,-19.78382397116192,-27.081342627821346,-19.78382397116192,-7.057107378534246,-21.373388781397576,-14.31628140286333,-12.726716592627673,-12.726716592627673
deep_boundary,7,17,-8.339848783037636,-19.715138571958665,-28.620922634983007,-19.715138571958665,-7.416751673318209,-21.778379957547585,-14.361628284229376,-12.298386898640455,-12.298386898640455
deep_boundary,8,18,-8.816970037757299,-19.605581493979454,-30.184595355504445,-19.605581493979454,-7.7938115049335295,-22.1447980272556,-14.35098652232207,-11.811769989045924,-11.811769989045924
deep_boundary,9,19,-9.294091292476962,-19.464289749616867,-31.6542222162019,-31.288680777238167,-8.111281740665317,-22.480243274562458,-14.36896153389714,-11.35300800895155,-23.17739903657285
deep_boundary,10,20,-9.771212547196624,-19.36385324978853,-33.161330940834645,-32.07174467995063,-8.483309982977715,-22.856805107872546,-14.37349512489483,-10.880543266810815,-23.588434696972918
deep_boundary,11,21,-10.248333801916287,-19.136095052630864,-34.539966933198464,-32.18403552768082,-8.731250983821978,-23.106125461802403,-14.374874477980425,-10.404844068808886,-23.45278454385884
deep_boundary,12,22,-10.72545505663595,-19.07488619818289,-35.95644199484823,-32.24491150929443,-9.136733733451724,-23.522035744245336,-14.385302010793612,-9.938152464731168,-23.10817777584271
deep_boundary,13,23,-11.202576311355612,-18.76474741934503,-37.26008586553707,-31.976366753017146,-9.308664989898025,-23.689018759808665,-14.38035376991064,-9.456082429447006,-22.66770176311912
deep_boundary,14,24,-11.679697566075275,-18.887131031197878,-38.56538181436563,-32.11269529000038,-9.911238143297426,-24.28856670813202,-14.377328564834594,-8.975892887900452,-22.201457146702957
deep_boundary,15,25,-12.156818820794937,-18.703704238427836,-40.277070908559075,-31.93392351277497,-10.201504103825334,-24.58226924556005,-14.380765141734715,-8.502200134602502,-21.73241940894964
deep_boundary,16,26,-12.6339400755146,-18.800793418433514,-41.641199849082675,-32.0325650146626,-10.776291299326134,-25.15652036346407,-14.380229064137938,-8.02450211910738,-21.25627371533647
deep_boundary,17,27,-13.11106133023426,-18.613590972176677,-43.16351770431249,-42.79758434999622,-11.06441285610495,-25.44645542387231,-14.382042567767362,-7.549178116071728,-31.73317149389127
